Period Temperature RelativeHumidity
2:52 17.79189 83.02556
2:54 17.78144 83.06704
2:56 17.771 83.10852
2:58 17.76056 83.15
3:00 17.7535 83.16796
3:02 17.74644 83.18593
3:04 17.73939 83.20389
3:06 17.73233 83.22185
3:08 17.72528 83.23981
3:10 17.71822 83.25778
3:12 17.71117 83.27574
3:14 17.70411 83.2937
3:16 17.69705 83.31167
3:18 17.69 83.32963
3:20 17.68294 83.34759
3:22 17.67589 83.36555
3:24 17.66883 83.38352
3:26 17.66178 83.40148
3:28 17.65472 83.41944
3:30 17.64766 83.43741
3:32 17.64061 83.45537
3:34 17.63355 83.47333
3:36 17.6265 83.49129
3:38 17.61944 83.50926
3:40 17.61239 83.52722
3:42 17.60533 83.54518
3:44 17.59827 83.56315
3:46 17.59122 83.58111
3:48 17.58416 83.59907
3:50 17.57711 83.61703
3:52 17.57005 83.635
3:54 17.563 83.65296
3:56 17.55594 83.67092
3:58 17.54889 83.68889
4:00 17.55207 83.69703
4:02 17.55526 83.70518
4:04 17.55844 83.71333
4:06 17.56163 83.72148
4:08 17.56481 83.72963
4:10 17.568 83.73777
4:12 17.57118 83.74592
4:14 17.57437 83.75407
4:16 17.57755 83.76222
4:18 17.58074 83.77037
4:20 17.58392 83.77851
4:22 17.58711 83.78666
4:24 17.59029 83.79481
4:26 17.59348 83.80296
4:28 17.59667 83.81111
4:30 17.59985 83.81926
4:32 17.60304 83.8274
4:34 17.60622 83.83555
4:36 17.60941 83.8437
4:38 17.61259 83.85185
4:40 17.61578 83.86
4:42 17.61896 83.86814
4:44 17.62215 83.87629
4:46 17.62533 83.88444
4:48 17.62852 83.89259
4:50 17.6317 83.90074
4:52 17.63489 83.90889
4:54 17.63807 83.91703
4:56 17.64126 83.92518
4:58 17.64445 83.93333
5:00 17.67019 83.89092
5:02 17.69593 83.84852
5:04 17.72167 83.80611
5:06 17.74741 83.7637
5:08 17.77315 83.72129
5:10 17.79889 83.67889
5:12 17.82463 83.63648
5:14 17.85037 83.59407
5:16 17.87611 83.55166
5:18 17.90185 83.50926
5:20 17.92759 83.46685
5:22 17.95334 83.42444
5:24 17.97908 83.38203
5:26 18.00482 83.33963
5:28 18.03056 83.29722
5:30 18.0563 83.25481
5:32 18.08204 83.21241
5:34 18.10778 83.17
5:36 18.13352 83.12759
5:38 18.15926 83.08518
5:40 18.185 83.04278
5:42 18.21074 83.00037
5:44 18.23648 82.95796
5:46 18.26223 82.91555
5:48 18.28797 82.87315
5:50 18.31371 82.83074
5:52 18.33945 82.78833
5:54 18.36519 82.74592
5:56 18.39093 82.70352
5:58 18.41667 82.66111
6:00 18.47147 82.48667
6:02 18.52626 82.31222
6:04 18.58106 82.13778
6:06 18.63585 81.96333
6:08 18.69065 81.78889
6:10 18.74545 81.61444
6:12 18.80024 81.44
6:14 18.85504 81.26556
6:16 18.90984 81.09111
6:18 18.96463 80.91667
6:20 19.01943 80.74222
6:22 19.07422 80.56778
6:24 19.12902 80.39333
6:26 19.18382 80.21889
6:28 19.23861 80.04445
6:30 19.29341 79.87
6:32 19.3482 79.69556
6:34 19.403 79.52111
6:36 19.4578 79.34667
6:38 19.51259 79.17222
6:40 19.56739 78.99778
6:42 19.62219 78.82333
6:44 19.67698 78.64889
6:46 19.73178 78.47445
6:48 19.78657 78.3
6:50 19.84137 78.12556
6:52 19.89617 77.95111
6:54 19.95096 77.77667
6:56 20.00576 77.60222
6:58 20.06056 77.42778
7:00 20.1313 77.14926
7:02 20.20204 76.87074
7:04 20.27278 76.59222
7:06 20.34352 76.31371
7:08 20.41426 76.03519
7:10 20.485 75.75667
7:12 20.55574 75.47815
7:14 20.62648 75.19963
7:16 20.69722 74.92111
7:18 20.76796 74.6426
7:20 20.8387 74.36408
7:22 20.90944 74.08556
7:24 20.98018 73.80704
7:26 21.05092 73.52852
7:28 21.12167 73.25
7:30 21.19241 72.97148
7:32 21.26315 72.69297
7:34 21.33389 72.41445
7:36 21.40463 72.13593
7:38 21.47537 71.85741
7:40 21.54611 71.57889
7:42 21.61685 71.30037
7:44 21.68759 71.02185
7:46 21.75833 70.74334
7:48 21.82907 70.46482
7:50 21.89981 70.1863
7:52 21.97055 69.90778
7:54 22.04129 69.62926
7:56 22.11203 69.35074
7:58 22.18278 69.07223
8:00 22.24592 68.8163
8:02 22.30907 68.56037
8:04 22.37222 68.30445
8:06 22.43537 68.04852
8:08 22.49852 67.7926
8:10 22.56166 67.53667
8:12 22.62481 67.28074
8:14 22.68796 67.02482
8:16 22.75111 66.76889
8:18 22.81426 66.51297
8:20 22.8774 66.25704
8:22 22.94055 66.00111
8:24 23.0037 65.74519
8:26 23.06685 65.48926
8:28 23.13 65.23334
8:30 23.19315 64.97741
8:32 23.25629 64.72148
8:34 23.31944 64.46556
8:36 23.38259 64.20963
8:38 23.44574 63.95371
8:40 23.50889 63.69778
8:42 23.57203 63.44185
8:44 23.63518 63.18593
8:46 23.69833 62.93
8:48 23.76148 62.67408
8:50 23.82463 62.41815
8:52 23.88778 62.16222
8:54 23.95092 61.9063
8:56 24.01407 61.65037
8:58 24.07722 61.39445
9:00 24.12433 61.22148
9:02 24.17144 61.04852
9:04 24.21855 60.87556
9:06 24.26566 60.70259
9:08 24.31278 60.52963
9:10 24.35989 60.35667
9:12 24.407 60.1837
9:14 24.45411 60.01074
9:16 24.50122 59.83778
9:18 24.54833 59.66482
9:20 24.59544 59.49185
9:22 24.64255 59.31889
9:24 24.68967 59.14593
9:26 24.73678 58.97296
9:28 24.78389 58.8
9:30 24.831 58.62704
9:32 24.87811 58.45407
9:34 24.92522 58.28111
9:36 24.97233 58.10815
9:38 25.01944 57.93519
9:40 25.06655 57.76222
9:42 25.11367 57.58926
9:44 25.16078 57.4163
9:46 25.20789 57.24333
9:48 25.255 57.07037
9:50 25.30211 56.89741
9:52 25.34922 56.72444
9:54 25.39633 56.55148
9:56 25.44344 56.37852
9:58 25.49056 56.20556
10:00 25.52761 56.07685
10:02 25.56467 55.94815
10:04 25.60172 55.81944
10:06 25.63878 55.69074
10:08 25.67583 55.56204
10:10 25.71289 55.43333
10:12 25.74994 55.30463
10:14 25.787 55.17593
10:16 25.82406 55.04722
10:18 25.86111 54.91852
10:20 25.89817 54.78981
10:22 25.93522 54.66111
10:24 25.97228 54.53241
10:26 26.00933 54.4037
10:28 26.04639 54.275
10:30 26.08345 54.1463
10:32 26.1205 54.01759
10:34 26.15756 53.88889
10:36 26.19461 53.76019
10:38 26.23167 53.63148
10:40 26.26872 53.50278
10:42 26.30578 53.37407
10:44 26.34284 53.24537
10:46 26.37989 53.11667
10:48 26.41695 52.98796
10:50 26.454 52.85926
10:52 26.49106 52.73056
10:54 26.52811 52.60185
10:56 26.56517 52.47315
10:58 26.60223 52.34445
11:00 26.62784 52.24704
11:02 26.65345 52.14963
11:04 26.67906 52.05222
11:06 26.70467 51.95482
11:08 26.73028 51.85741
11:10 26.75589 51.76
11:12 26.7815 51.66259
11:14 26.80711 51.56519
11:16 26.83273 51.46778
11:18 26.85834 51.37037
11:20 26.88395 51.27296
11:22 26.90956 51.17556
11:24 26.93517 51.07815
11:26 26.96078 50.98074
11:28 26.98639 50.88334
11:30 27.012 50.78593
11:32 27.03761 50.68852
11:34 27.06323 50.59111
11:36 27.08884 50.49371
11:38 27.11445 50.3963
11:40 27.14006 50.29889
11:42 27.16567 50.20148
11:44 27.19128 50.10408
11:46 27.21689 50.00667
11:48 27.2425 49.90926
11:50 27.26812 49.81185
11:52 27.29373 49.71445
11:54 27.31934 49.61704
11:56 27.34495 49.51963
11:58 27.37056 49.42223
12:00 27.37375 49.37648
12:02 27.37693 49.33074
12:04 27.38012 49.285
12:06 27.3833 49.23926
12:08 27.38649 49.19352
12:10 27.38967 49.14778
12:12 27.39286 49.10204
12:14 27.39604 49.0563
12:16 27.39923 49.01056
12:18 27.40241 48.96482
12:20 27.4056 48.91908
12:22 27.40878 48.87334
12:24 27.41197 48.82759
12:26 27.41515 48.78185
12:28 27.41834 48.73611
12:30 27.42152 48.69037
12:32 27.42471 48.64463
12:34 27.42789 48.59889
12:36 27.43108 48.55315
12:38 27.43426 48.50741
12:40 27.43745 48.46167
12:42 27.44063 48.41593
12:44 27.44382 48.37019
12:46 27.447 48.32445
12:48 27.45019 48.2787
12:50 27.45337 48.23296
12:52 27.45656 48.18722
12:54 27.45974 48.14148
12:56 27.46293 48.09574
12:58 27.46612 48.05
13:00 27.45667 48.04519
13:02 27.44723 48.04037
13:04 27.43778 48.03556
13:06 27.42834 48.03074
13:08 27.41889 48.02593
13:10 27.40945 48.02111
13:12 27.4 48.0163
13:14 27.39056 48.01148
13:16 27.38111 48.00667
13:18 27.37167 48.00185
13:20 27.36223 47.99704
13:22 27.35278 47.99222
13:24 27.34334 47.98741
13:26 27.33389 47.98259
13:28 27.32445 47.97778
13:30 27.315 47.97296
13:32 27.30556 47.96815
13:34 27.29611 47.96333
13:36 27.28667 47.95852
13:38 27.27723 47.9537
13:40 27.26778 47.94889
13:42 27.25834 47.94407
13:44 27.24889 47.93926
13:46 27.23945 47.93444
13:48 27.23 47.92963
13:50 27.22056 47.92481
13:52 27.21111 47.92
13:54 27.20167 47.91518
13:56 27.19222 47.91037
13:58 27.18278 47.90556
14:00 27.16663 47.945
14:02 27.15048 47.98444
14:04 27.13434 48.02389
14:06 27.11819 48.06333
14:08 27.10204 48.10278
14:10 27.08589 48.14222
14:12 27.06974 48.18167
14:14 27.05359 48.22111
14:16 27.03745 48.26056
14:18 27.0213 48.3
14:20 27.00515 48.33944
14:22 26.989 48.37889
14:24 26.97285 48.41833
14:26 26.95671 48.45778
14:28 26.94056 48.49722
14:30 26.92441 48.53667
14:32 26.90826 48.57611
14:34 26.89211 48.61556
14:36 26.87596 48.655
14:38 26.85982 48.69445
14:40 26.84367 48.73389
14:42 26.82752 48.77333
14:44 26.81137 48.81278
14:46 26.79522 48.85222
14:48 26.77908 48.89167
14:50 26.76293 48.93111
14:52 26.74678 48.97056
14:54 26.73063 49.01
14:56 26.71448 49.04945
14:58 26.69834 49.08889
15:00 26.66828 49.19093
15:02 26.63822 49.29296
15:04 26.60817 49.395
15:06 26.57811 49.49704
15:08 26.54806 49.59908
15:10 26.518 49.70111
15:12 26.48795 49.80315
15:14 26.45789 49.90519
15:16 26.42784 50.00722
15:18 26.39778 50.10926
15:20 26.36772 50.2113
15:22 26.33767 50.31333
15:24 26.30761 50.41537
15:26 26.27756 50.51741
15:28 26.2475 50.61945
15:30 26.21745 50.72148
15:32 26.18739 50.82352
15:34 26.15734 50.92556
15:36 26.12728 51.02759
15:38 26.09723 51.12963
15:40 26.06717 51.23167
15:42 26.03711 51.3337
15:44 26.00706 51.43574
15:46 25.977 51.53778
15:48 25.94695 51.63982
15:50 25.91689 51.74185
15:52 25.88684 51.84389
15:54 25.85678 51.94593
15:56 25.82673 52.04796
15:58 25.79667 52.15
16:00 25.76111 52.29685
16:02 25.72556 52.4437
16:04 25.69 52.59056
16:06 25.65445 52.73741
16:08 25.61889 52.88426
16:10 25.58334 53.03111
16:12 25.54778 53.17796
16:14 25.51222 53.32481
16:16 25.47667 53.47167
16:18 25.44111 53.61852
16:20 25.40556 53.76537
16:22 25.37 53.91222
16:24 25.33445 54.05907
16:26 25.29889 54.20593
16:28 25.26334 54.35278
16:30 25.22778 54.49963
16:32 25.19222 54.64648
16:34 25.15667 54.79333
16:36 25.12111 54.94018
16:38 25.08556 55.08704
16:40 25.05 55.23389
16:42 25.01445 55.38074
16:44 24.97889 55.52759
16:46 24.94333 55.67444
16:48 24.90778 55.8213
16:50 24.87222 55.96815
16:52 24.83667 56.115
16:54 24.80111 56.26185
16:56 24.76556 56.4087
16:58 24.73 56.55556
17:00 24.68613 56.72315
17:02 24.64226 56.89074
17:04 24.59839 57.05833
17:06 24.55452 57.22593
17:08 24.51065 57.39352
17:10 24.46678 57.56111
17:12 24.42291 57.7287
17:14 24.37904 57.8963
17:16 24.33517 58.06389
17:18 24.2913 58.23148
17:20 24.24742 58.39907
17:22 24.20355 58.56667
17:24 24.15968 58.73426
17:26 24.11581 58.90185
17:28 24.07194 59.06945
17:30 24.02807 59.23704
17:32 23.9842 59.40463
17:34 23.94033 59.57222
17:36 23.89646 59.73982
17:38 23.85259 59.90741
17:40 23.80872 60.075
17:42 23.76485 60.24259
17:44 23.72098 60.41019
17:46 23.67711 60.57778
17:48 23.63324 60.74537
17:50 23.58937 60.91296
17:52 23.5455 61.08056
17:54 23.50163 61.24815
17:56 23.45776 61.41574
17:58 23.41389 61.58334
18:00 23.36692 61.75648
18:02 23.31996 61.92963
18:04 23.273 62.10278
18:06 23.22603 62.27593
18:08 23.17907 62.44908
18:10 23.13211 62.62222
18:12 23.08515 62.79537
18:14 23.03818 62.96852
18:16 22.99122 63.14167
18:18 22.94426 63.31482
18:20 22.89729 63.48796
18:22 22.85033 63.66111
18:24 22.80337 63.83426
18:26 22.75641 64.00741
18:28 22.70944 64.18056
18:30 22.66248 64.35371
18:32 22.61552 64.52685
18:34 22.56855 64.7
18:36 22.52159 64.87315
18:38 22.47463 65.0463
18:40 22.42767 65.21945
18:42 22.3807 65.39259
18:44 22.33374 65.56574
18:46 22.28678 65.73889
18:48 22.23981 65.91204
18:50 22.19285 66.08519
18:52 22.14589 66.25834
18:54 22.09893 66.43148
18:56 22.05196 66.60463
18:58 22.005 66.77778
19:00 21.96985 66.93148
19:02 21.9347 67.08519
19:04 21.89956 67.23889
19:06 21.86441 67.39259
19:08 21.82926 67.5463
19:10 21.79411 67.7
19:12 21.75896 67.85371
19:14 21.72381 68.00741
19:16 21.68867 68.16111
19:18 21.65352 68.31482
19:20 21.61837 68.46852
19:22 21.58322 68.62222
19:24 21.54807 68.77593
19:26 21.51293 68.92963
19:28 21.47778 69.08334
19:30 21.44263 69.23704
19:32 21.40748 69.39074
19:34 21.37233 69.54445
19:36 21.33718 69.69815
19:38 21.30204 69.85185
19:40 21.26689 70.00556
19:42 21.23174 70.15926
19:44 21.19659 70.31296
19:46 21.16144 70.46667
19:48 21.1263 70.62037
19:50 21.09115 70.77408
19:52 21.056 70.92778
19:54 21.02085 71.08148
19:56 20.9857 71.23519
19:58 20.95056 71.38889
20:00 20.92628 71.49019
20:02 20.902 71.59148
20:04 20.87772 71.69278
20:06 20.85344 71.79408
20:08 20.82917 71.89537
20:10 20.80489 71.99667
20:12 20.78061 72.09796
20:14 20.75633 72.19926
20:16 20.73205 72.30056
20:18 20.70778 72.40185
20:20 20.6835 72.50315
20:22 20.65922 72.60445
20:24 20.63494 72.70574
20:26 20.61067 72.80704
20:28 20.58639 72.90834
20:30 20.56211 73.00963
20:32 20.53783 73.11093
20:34 20.51355 73.21222
20:36 20.48928 73.31352
20:38 20.465 73.41482
20:40 20.44072 73.51611
20:42 20.41644 73.61741
20:44 20.39216 73.71871
20:46 20.36789 73.82
20:48 20.34361 73.9213
20:50 20.31933 74.02259
20:52 20.29505 74.12389
20:54 20.27078 74.22519
20:56 20.2465 74.32648
20:58 20.22222 74.42778
21:00 20.20285 74.49556
21:02 20.18348 74.56334
21:04 20.16411 74.63111
21:06 20.14474 74.69889
21:08 20.12537 74.76667
21:10 20.106 74.83445
21:12 20.08663 74.90222
21:14 20.06726 74.97
21:16 20.04789 75.03778
21:18 20.02852 75.10556
21:20 20.00915 75.17333
21:22 19.98978 75.24111
21:24 19.97041 75.30889
21:26 19.95104 75.37667
21:28 19.93167 75.44445
21:30 19.91229 75.51222
21:32 19.89292 75.58
21:34 19.87355 75.64778
21:36 19.85418 75.71556
21:38 19.83481 75.78333
21:40 19.81544 75.85111
21:42 19.79607 75.91889
21:44 19.7767 75.98667
21:46 19.75733 76.05444
21:48 19.73796 76.12222
21:50 19.71859 76.19
21:52 19.69922 76.25778
21:54 19.67985 76.32555
21:56 19.66048 76.39333
21:58 19.64111 76.46111
22:00 19.62604 76.52074
22:02 19.61096 76.58037
22:04 19.59589 76.64
22:06 19.58081 76.69963
22:08 19.56574 76.75926
22:10 19.55067 76.81889
22:12 19.53559 76.87852
22:14 19.52052 76.93815
22:16 19.50544 76.99778
22:18 19.49037 77.05741
22:20 19.4753 77.11704
22:22 19.46022 77.17667
22:24 19.44515 77.2363
22:26 19.43007 77.29593
22:28 19.415 77.35556
22:30 19.39993 77.41518
22:32 19.38485 77.47481
22:34 19.36978 77.53444
22:36 19.3547 77.59407
22:38 19.33963 77.6537
22:40 19.32456 77.71333
22:42 19.30948 77.77296
22:44 19.29441 77.83259
22:46 19.27933 77.89222
22:48 19.26426 77.95185
22:50 19.24919 78.01148
22:52 19.23411 78.07111
22:54 19.21904 78.13074
22:56 19.20396 78.19037
22:58 19.18889 78.25
23:00 19.18595 78.26365
23:02 19.18291 78.27778
23:04 19.17977 78.2924
23:06 19.17651 78.30754
23:08 19.17313 78.32323
23:10 19.16963 78.33951
23:12 19.166 78.35639
23:14 19.16222 78.37393
23:16 19.1583 78.39216
23:18 19.15422 78.41111
23:20 19.14998 78.43084
23:22 19.14556 78.45139
23:24 19.14095 78.47281
23:26 19.13614 78.49517
23:28 19.13111 78.51852
23:30 19.12586 78.54293
23:32 19.12036 78.56848
23:34 19.11461 78.59524
23:36 19.10857 78.62331
23:38 19.10223 78.65278
23:40 19.09556 78.68376
23:42 19.08854 78.71638
23:44 19.08114 78.75075
23:46 19.07334 78.78704
23:48 19.06508 78.8254
23:50 19.05634 78.86602
23:52 19.04707 78.90909
23:54 19.03723 78.95487
23:56 19.02674 79.00359
23:58 19.01556 79.05556
